Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,IMDiRegion,Næringsregionnr,Næringsregion_navn,Sentralitet_nr_2008,Sentralitet_kat_2008,,,
0710,Sandefjord (f.o.m. 2017),07,Vestfold,IMDi Øst,3027,Sandefjord (f.o.m. 2018),3,Sentrale kommuner,,,
0711,Svelvik,07,Vestfold,IMDi Øst,3020,Drammensregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0712,Larvik (f.o.m. 2018),07,Vestfold,IMDi Øst,3028,Larvik/Lardal (f.o.m. 2018),2,Noe sentrale kommuner,,,
0713,Sande (Vestfold),07,Vestfold,IMDi Øst,3025,Vestfold Nord (f.o.m. 2018),3,Sentrale kommuner,,,
0714,Hof (t.o.m. 2017),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0715,Holmestrand (f.o.m. 2018),07,Vestfold,IMDi Øst,3025,Vestfold Nord (f.o.m. 2018),3,Sentrale kommuner,,,
0716,Re,07,Vestfold,IMDi Øst,3026,Tønsbergregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0719,Andebu (t.o.m. 2016),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0720,Stokke (t.o.m. 2016),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0722,Nøtterøy (t.o.m. 2017),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),3,Sentrale kommuner,,,
0723,Tjøme (t.o.m. 2017),07,Vestfold,IMDi Øst,25,Tønsbergregionen (t.o.m. 2017),2,Noe sentrale kommuner,,,
0728,Lardal (t.o.m. 2017),07,Vestfold,IMDi Øst,26,Sandefjord/Larvik (t.o.m. 2017),3,Sentrale kommuner,,,
0729,Færder,07,Vestfold,IMDi Øst,3026,Tønsbergregionen (f.o.m. 2018),3,Sentrale kommuner,,,
0805,Porsgrunn,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0806,Skien,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0807,Notodden,08,Telemark,IMDi Sør,3031,Øst-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0811,Siljan,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0814,Bamble,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0815,Kragerø,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0817,Drangedal,08,Telemark,IMDi Sør,3029,Grenland (f.o.m. 2018),2,Noe sentrale kommuner,,,
0819,Nome,08,Telemark,IMDi Sør,3030,Midt-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0821,Bø (Telemark),08,Telemark,IMDi Sør,3030,Midt-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0822,Sauherad,08,Telemark,IMDi Sør,3030,Midt-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0826,Tinn,08,Telemark,IMDi Sør,3031,Øst-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0827,Hjartdal,08,Telemark,IMDi Sør,3031,Øst-Telemark (f.o.m. 2018),2,Noe sentrale kommuner,,,
0828,Seljord,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0829,Kviteseid,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0830,Nissedal,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0831,Fyresdal,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0833,Tokke,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
0834,Vinje,08,Telemark,IMDi Sør,3032,Vest-Telemark (f.o.m. 2018),0,Minst sentrale kommuner,,,
