Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,IMDiRegion,Næringsregionnr,Næringsregion_ navn,Sentralitet_nr_2008,Sentralitet_kat_2008,Validity
1122,Gjesdal,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1124,Sola,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1127,Randaberg,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1129,Forsand,11,Rogaland,IMDi Vest,38,Ryfylke,3,Sentrale kommuner,valid
1130,Strand,11,Rogaland,IMDi Vest,38,Ryfylke,3,Sentrale kommuner,valid
1133,Hjelmeland,11,Rogaland,IMDi Vest,38,Ryfylke,0,Minst Sentrale kommuner,valid
1134,Suldal,11,Rogaland,IMDi Vest,38,Ryfylke,0,Minst Sentrale kommuner,valid
1135,Sauda,11,Rogaland,IMDi Vest,37,Haugesundregionen,0,Minst Sentrale kommuner,valid
1141,Finnøy,11,Rogaland,IMDi Vest,38,Ryfylke,3,Sentrale kommuner,valid
1142,Rennesøy,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1144,Kvitsøy,11,Rogaland,IMDi Vest,39,Stavangerregionen,3,Sentrale kommuner,valid
1145,Bokn,11,Rogaland,IMDi Vest,37,Haugesundregionen,3,Sentrale kommuner,valid
1146,Tysvær,11,Rogaland,IMDi Vest,37,Haugesundregionen,2,Noe Sentrale kommuner,valid
1149,Karmøy,11,Rogaland,IMDi Vest,37,Haugesundregionen,2,Noe Sentrale kommuner,valid
1151,Utsira,11,Rogaland,IMDi Vest,37,Haugesundregionen,0,Minst Sentrale kommuner,valid
1160,Vindafjord,11,Rogaland,IMDi Vest,37,Haugesundregionen,2,Noe Sentrale kommuner,valid
1201,Bergen,12,Hordaland,IMDi Vest,40,Bergen,3,Sentrale kommuner,valid
1211,Etne,12,Hordaland,IMDi Vest,46,Sunnhordland,0,Minst Sentrale kommuner,valid
1216,Sveio,12,Hordaland,IMDi Vest,46,Sunnhordland,2,Noe Sentrale kommuner,valid
1219,Bømlo,12,Hordaland,IMDi Vest,46,Sunnhordland,1,Mindre Sentrale kommuner,valid
1221,Stord,12,Hordaland,IMDi Vest,46,Sunnhordland,1,Mindre Sentrale kommuner,valid
1222,Fitjar,12,Hordaland,IMDi Vest,46,Sunnhordland,1,Mindre Sentrale kommuner,valid
1223,Tysnes,12,Hordaland,IMDi Vest,46,Sunnhordland,1,Mindre Sentrale kommuner,valid
1224,Kvinnherad,12,Hordaland,IMDi Vest,46,Sunnhordland,0,Minst Sentrale kommuner,valid
1227,Jondal,12,Hordaland,IMDi Vest,42,Hardanger,0,Minst Sentrale kommuner,valid
1228,Odda,12,Hordaland,IMDi Vest,42,Hardanger,1,Mindre Sentrale kommuner,valid
1231,Ullensvang,12,Hordaland,IMDi Vest,42,Hardanger,1,Mindre Sentrale kommuner,valid
1232,Eidfjord,12,Hordaland,IMDi Vest,42,Hardanger,0,Minst Sentrale kommuner,valid
1233,Ulvik,12,Hordaland,IMDi Vest,42,Hardanger,1,Mindre Sentrale kommuner,valid
1234,Granvin,12,Hordaland,IMDi Vest,42,Hardanger,1,Mindre Sentrale kommuner,valid
1235,Voss,12,Hordaland,IMDi Vest,43,Voss,1,Mindre Sentrale kommuner,valid
1238,Kvam,12,Hordaland,IMDi Vest,42,Hardanger,3,Sentrale kommuner,valid
1241,Fusa,12,Hordaland,IMDi Vest,41,Bjørnefjorden,3,Sentrale kommuner,valid
1242,Samnanger,12,Hordaland,IMDi Vest,41,Bjørnefjorden,3,Sentrale kommuner,valid
1243,Os (Hord.),12,Hordaland,IMDi Vest,41,Bjørnefjorden,3,Sentrale kommuner,valid
1244,Austevoll,12,Hordaland,IMDi Vest,46,Sunnhordland,3,Sentrale kommuner,valid
1245,Sund,12,Hordaland,IMDi Vest,47,Hordaland Vest,3,Sentrale kommuner,valid
1246,Fjell,12,Hordaland,IMDi Vest,47,Hordaland Vest,3,Sentrale kommuner,valid
1247,Askøy,12,Hordaland,IMDi Vest,47,Hordaland Vest,3,Sentrale kommuner,valid
1251,Vaksdal,12,Hordaland,IMDi Vest,45,Osterfjorden,3,Sentrale kommuner,valid
1252,Modalen,12,Hordaland,IMDi Vest,45,Osterfjorden,3,Sentrale kommuner,valid
1253,Osterøy,12,Hordaland,IMDi Vest,45,Osterfjorden,3,Sentrale kommuner,valid
1256,Meland,12,Hordaland,IMDi Vest,44,Nordhordland,3,Sentrale kommuner,valid
1259,Øygarden,12,Hordaland,IMDi Vest,47,Hordaland Vest,3,Sentrale kommuner,valid
1260,Radøy,12,Hordaland,IMDi Vest,44,Nordhordland,3,Sentrale kommuner,valid
1263,Lindås,12,Hordaland,IMDi Vest,44,Nordhordland,3,Sentrale kommuner,valid
1264,Austrheim,12,Hordaland,IMDi Vest,44,Nordhordland,3,Sentrale kommuner,valid
1265,Fedje,12,Hordaland,IMDi Vest,44,Nordhordland,0,Minst Sentrale kommuner,valid
1266,Masfjorden,12,Hordaland,IMDi Vest,44,Nordhordland,3,Sentrale kommuner,valid
1401,Flora,14,Sogn og Fjordane,IMDi Vest,51,Sunnfjord,1,Mindre Sentrale kommuner,valid
1411,Gulen,14,Sogn og Fjordane,IMDi Vest,48,HAFS,0,Minst Sentrale kommuner,valid
1412,Solund,14,Sogn og Fjordane,IMDi Vest,48,HAFS,0,Minst Sentrale kommuner,valid
1413,Hyllestad,14,Sogn og Fjordane,IMDi Vest,48,HAFS,0,Minst Sentrale kommuner,valid
1416,Høyanger,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1417,Vik,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1418,Balestrand,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1419,Leikanger,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1420,Sogndal,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1421,Aurland,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1422,Lærdal,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1424,Årdal,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1426,Luster,14,Sogn og Fjordane,IMDi Vest,50,Sogn,0,Minst Sentrale kommuner,valid
1428,Askvoll,14,Sogn og Fjordane,IMDi Vest,48,HAFS,0,Minst Sentrale kommuner,valid
1429,Fjaler,14,Sogn og Fjordane,IMDi Vest,48,HAFS,1,Mindre Sentrale kommuner,valid
1430,Gaular,14,Sogn og Fjordane,IMDi Vest,51,Sunnfjord,1,Mindre Sentrale kommuner,valid
1431,Jølster,14,Sogn og Fjordane,IMDi Vest,51,Sunnfjord,1,Mindre Sentrale kommuner,valid
1432,Førde,14,Sogn og Fjordane,IMDi Vest,51,Sunnfjord,1,Mindre Sentrale kommuner,valid
1433,Naustdal,14,Sogn og Fjordane,IMDi Vest,51,Sunnfjord,1,Mindre Sentrale kommuner,valid
1438,Bremanger,14,Sogn og Fjordane,IMDi Vest,49,Nordfjord,0,Minst Sentrale kommuner,valid
1439,Vågsøy,14,Sogn og Fjordane,IMDi Vest,49,Nordfjord,0,Minst Sentrale kommuner,valid
1441,Selje,14,Sogn og Fjordane,IMDi Vest,49,Nordfjord,0,Minst Sentrale kommuner,valid
1443,Eid,14,Sogn og Fjordane,IMDi Vest,49,Nordfjord,0,Minst Sentrale kommuner,valid
1444,Hornindal,14,Sogn og Fjordane,IMDi Vest,49,Nordfjord,0,Minst Sentrale kommuner,valid
1445,Gloppen,14,Sogn og Fjordane,IMDi Vest,49,Nordfjord,0,Minst Sentrale kommuner,valid
1449,Stryn,14,Sogn og Fjordane,IMDi Vest,49,Nordfjord,0,Minst Sentrale kommuner,valid
